,Unnamed: 0,POINT_ID,CURRENT,FORCE,TH_ORDER,TH1,TH2,TH3,1,10,r_max_time,r_max,slope_exp,intercept_exp,assesment_txt,OK,anomaly,gap,shunt
66,66,127181,8.6,2.0,0.7 + 1 + 0,0.7,1.0,0.0,24,46,117.0,76.0,0.009936892327055,3.1681169380208907,anomaly,0,1,0,0
67,67,127182,8.4,2.0,0.7 + 1 + 0,0.7,1.0,0.0,108,82,92.0,109.0,0.0001012819242299,4.68202994519999,OK,1,0,0,0
68,68,127228,8.4,2.0,0.7 + 1 + 0,0.7,1.0,0.0,204,99,131.0,100.0,-0.0054842292912009,5.323604223135417,OK,1,0,0,0
69,69,135416,8.4,2.0,0.7 + 1 + 0,0.7,1.0,0.0,338,152,112.0,100.0,-0.010971853238693,5.834017748721712,OK,1,0,0,0
70,70,135458,9.0,2.0,0.7 + 1 + 0,0.7,1.0,0.0,453,172,101.0,98.0,-0.0153092464681246,6.131201371951159,OK,1,0,0,0
71,71,570196,8.6,2.0,0.7 + 0.7 + 1,0.7,0.7,1.0,455,237,99.0,122.0,-0.0134313915736499,6.1337288105246,OK,1,0,0,0
72,72,570197,8.6,2.0,0.7 + 0.7 + 1,0.7,0.7,1.0,454,240,45.0,124.0,-0.0294958098280979,6.147593007869446,OK,1,0,0,0
73,73,570198,8.6,2.0,0.7 + 0.7 + 1,0.7,0.7,1.0,479,250,34.0,125.0,-0.040708692730564,6.212409290141479,OK,1,0,0,0
74,74,570199,8.6,2.0,0.7 + 0.7 + 1,0.7,0.7,1.0,479,251,35.0,127.0,-0.0390445150280095,6.210745112438924,OK,1,0,0,0
75,75,570200,8.6,2.0,0.7 + 0.7 + 1,0.7,0.7,1.0,476,254,35.0,133.0,-0.0375020213532254,6.202919875584646,OK,1,0,0,0
76,76,570201,8.6,2.0,0.7 + 0.7 + 1,0.7,0.7,1.0,488,256,36.0,133.0,-0.0371418936466112,6.227457299499759,OK,1,0,0,0
77,77,570202,8.6,2.0,0.7 + 0.7 + 1,0.7,0.7,1.0,492,259,34.0,133.0,-0.0396402905536531,6.238119007045961,OK,1,0,0,0
78,78,570203,8.6,2.0,0.7 + 0.7 + 1,0.7,0.7,1.0,489,261,36.0,136.0,-0.0365630743925377,6.22892556386741,OK,1,0,0,0
79,79,570234,8.6,2.0,0.7 + 0.7 + 1,0.7,0.7,1.0,448,262,37.0,127.0,-0.0350168373876776,6.139810069802663,OK,1,0,0,0
80,80,570236,8.6,2.0,0.7 + 0.7 + 1,0.7,0.7,1.0,457,253,41.0,130.0,-0.0314287235109655,6.156112114405171,OK,1,0,0,0
81,81,570238,8.6,2.0,0.7 + 0.7 + 1,0.7,0.7,1.0,478,269,37.0,130.0,-0.0361687856121076,6.205779518103564,OK,1,0,0,0
82,82,570240,8.6,2.0,0.7 + 0.7 + 1,0.7,0.7,1.0,459,259,42.0,132.0,-0.030396299694492,6.159446509755037,OK,1,0,0,0
83,83,570242,8.6,2.0,0.7 + 0.7 + 1,0.7,0.7,1.0,501,267,36.0,131.0,-0.0383259650823918,6.254932066167257,OK,1,0,0,0
84,84,570243,8.6,2.0,0.7 + 0.7 + 1,0.7,0.7,1.0,496,264,34.0,132.0,-0.0401143637617744,6.246690290486702,OK,1,0,0,0
